YEAR       DAY        EXEC_TIME       MAX_RAM_KB     
------------------------------------------------------------
2007-342.h5       3:33.11           3980588
2007-343.h5       3:17.05           3803812
2007-344.h5       3:34.39           3980296
2007-345.h5       3:50.56           4159204
2007-346.h5       1:08.46           2168840
2007-347.h5       3:38.59           3978716
2007-348.h5       3:49.80           4159172
2007-349.h5       3:21.44           3799092
2007-350.h5       0:33.10           1796876
2007-351.h5       1:47.48           2714980
2007-352.h5       3:32.60           3977648
2007-353.h5       3:03.29           3618196
2007-354.h5       3:33.64           3978112
2007-355.h5       3:34.29           3967032
2007-356.h5       3:40.67           3978572
2007-357.h5       3:34.30           3977860
2007-358.h5       3:32.93           3969616
2007-359.h5       3:35.77           3970036
2007-360.h5       3:34.23           3978944
2007-361.h5       3:48.27           4161540
2007-362.h5       3:49.19           4158612
2007-363.h5       3:31.72           3980400
2007-364.h5       3:55.30           4161772
2007-365.h5       3:55.55           3978080
2008-001.h5       3:54.41           4157856
2008-002.h5       2:30.32           3074488
2008-003.h5       3:41.17           3225460
2008-004.h5       4:01.53           4159380
2008-005.h5       1:34.28           2532076
2008-006.h5       3:48.91           3977600
2008-007.h5       3:46.65           3977672
2008-008.h5       4:00.69           4160024
2008-009.h5       3:13.31           3618180
2008-010.h5       3:59.30           4158996
2008-011.h5       3:32.87           3980584
2008-012.h5       3:47.95           4159128
2008-013.h5       3:49.01           4161192
2008-014.h5       3:02.24           3618088
2008-015.h5       3:35.84           3979760
2008-016.h5       2:35.83           3256020
2008-017.h5       0:32.87           1799784
2008-018.h5       2:12.47           3078272
2008-022.h5       1:03.13           2167884
2008-023.h5       2:05.07           2894112
2008-024.h5       3:58.98           4158268
2008-025.h5       3:05.64           3617996
2008-026.h5       0:17.63           1615036
2008-027.h5       3:47.55           3980616
2008-028.h5       3:56.93           4161240
2008-029.h5       3:57.43           4158212
2008-030.h5       4:01.78           3978040
2008-031.h5       4:02.41           4159312
2008-032.h5       3:43.63           3978100
2008-033.h5       3:43.16           3980140
2008-034.h5       4:49.99           3980528
2008-035.h5       2:18.89           2533540
2008-036.h5       1:46.97           2351812
2008-037.h5       3:45.30           3977828
2008-038.h5       4:40.29           3800044
2008-039.h5       3:40.23           3980504
2008-040.h5       4:01.99           4158096
2008-041.h5       3:48.82           3978112
2008-042.h5       3:42.73           3979160
2008-043.h5       5:04.71           3978304
2008-044.h5       4:45.16           3800184
2008-045.h5       4:06.52           4159844
2008-046.h5       1:35.04           2532872
2008-047.h5       1:38.98           2531972
2008-048.h5       1:05.78           2167768
2008-049.h5       3:29.97           3799208
2008-050.h5       4:00.72           3978260
2008-051.h5       4:11.62           4158984
2008-052.h5       4:06.63           4158368
2008-053.h5       3:00.47           3435492
2008-054.h5       4:06.67           4158928
2008-055.h5       2:58.15           3437624
2008-056.h5       3:32.72           3798020
2008-057.h5       3:54.78           3979592
2008-058.h5       3:50.33           3979416
2008-059.h5       3:44.69           3979028
2008-060.h5       4:16.95           4158292
2008-061.h5       4:04.13           3978624
2008-062.h5       3:29.41           3800244
2008-063.h5       1:24.99           1799520
2008-071.h5       1:32.63           2532432
2008-072.h5       4:08.73           4158164
2008-073.h5       3:40.29           3798276
2008-074.h5       5:53.21           4158196
2008-075.h5       3:48.71           3979716
2008-076.h5       3:37.26           3981376
2008-079.h5       3:43.95           3980640
2008-080.h5       3:49.26           3980540
2008-081.h5       3:30.69           3798396
2008-082.h5       3:55.53           3978268
2008-083.h5       3:55.65           4158364
2008-084.h5       3:59.10           4158484
2008-085.h5       3:46.51           3978060
2008-086.h5       3:41.36           3977704
2008-087.h5       3:43.37           3978204
2008-088.h5       3:14.74           3617968
2008-089.h5       3:51.30           3979120
2008-090.h5       4:00.78           4159352
2008-091.h5       3:26.66           3800468
2008-092.h5       4:04.86           4159668
2008-093.h5       3:49.91           3980148
2008-094.h5       3:47.93           3978620
2008-095.h5       4:59.96           4158900
2008-096.h5       4:43.06           3978304
2008-097.h5       4:06.64           4159264
2008-098.h5       3:45.13           3978520
2008-099.h5       3:59.08           4158304
2008-100.h5       5:22.75           4158732
2008-101.h5       3:43.30           3979428
2008-102.h5       3:33.03           3798328
2008-103.h5       3:51.21           3978244
2008-104.h5       5:50.02           4159444
2008-105.h5       5:21.08           3977924
2008-106.h5       3:57.01           4158528
2008-107.h5       4:21.55           3799032
2008-108.h5       4:00.37           4159356
2008-109.h5       4:01.33           4160364
2008-110.h5       3:50.89           3980288
2008-111.h5       4:12.81           4161052
2008-112.h5       3:52.60           3980352
2008-113.h5       4:03.80           4160120
2008-114.h5       4:27.94           3978444
2008-115.h5       4:06.16           4157804
2008-116.h5       4:01.06           4158276
2008-117.h5       3:48.11           3978252
2008-118.h5       4:00.01           4159432
2008-119.h5       3:50.38           3977920
2008-120.h5       3:25.22           3798540
2008-121.h5       3:22.70           3801304
